Date,Price,Open,High,Low,Vol.,Change %
7/3/2019,57.34,56.49,57.48,56.04,600.13K,1.94%
7/4/2019,56.80,57.41,57.57,56.48,-,-0.94%
7/5/2019,57.51,57.38,57.82,56.29,698.02K,1.25%
7/8/2019,57.66,57.77,58.46,57.30,540.86K,0.26%
7/9/2019,57.83,57.56,59.10,57.29,551.87K,0.29%
7/10/2019,60.43,58.40,60.53,58.35,690.66K,4.50%
7/11/2019,60.20,60.44,60.94,60.14,573.02K,-0.38%
7/12/2019,60.21,60.46,60.74,59.93,469.03K,0.02%
7/15/2019,59.58,60.25,60.92,59.20,566.82K,-1.05%
7/16/2019,57.62,59.26,60.06,57.07,712.54K,-3.29%
7/17/2019,56.78,57.52,58.36,56.21,504.43K,-1.46%
7/18/2019,55.30,56.60,57.32,54.72,215.36K,-2.61%
7/19/2019,55.63,55.72,56.36,54.99,105.22K,0.60%
7/22/2019,56.22,56.22,56.84,55.72,24.30K,1.06%
7/23/2019,56.77,56.17,57.47,55.74,521.88K,0.98%
7/24/2019,55.88,57.23,57.64,55.33,745.25K,-1.57%
7/25/2019,56.02,55.90,56.99,55.81,559.28K,0.25%
7/26/2019,56.20,55.93,56.57,55.68,476.79K,0.32%
7/29/2019,56.87,56.20,57.10,55.81,529.74K,1.19%
7/30/2019,58.05,57.07,58.47,56.96,547.40K,2.07%
7/31/2019,58.58,58.34,58.82,57.81,614.00K,0.91%
8/1/2019,53.95,57.85,57.99,53.59,886.75K,-7.90%
8/2/2019,55.66,54.54,56.05,54.15,739.81K,3.17%
8/5/2019,54.69,55.38,55.61,54.22,823.84K,-1.74%
8/6/2019,53.63,54.95,55.42,53.29,682.79K,-1.94%
8/7/2019,51.09,53.42,53.77,50.52,1.06M,-4.74%
8/8/2019,52.54,52.33,53.06,51.94,724.76K,2.84%
8/9/2019,54.50,52.88,54.92,52.37,726.39K,3.73%
8/12/2019,54.93,54.32,55.18,53.54,611.03K,0.79%
8/13/2019,57.10,54.73,57.47,54.21,783.49K,3.95%
8/14/2019,55.23,56.74,56.85,53.97,718.29K,-3.27%
8/15/2019,54.47,54.90,55.33,53.77,527.87K,-1.38%
8/16/2019,54.87,54.74,55.67,54.26,168.35K,0.73%
8/19/2019,56.21,54.96,56.41,54.84,113.57K,2.44%
8/20/2019,56.34,56.10,56.60,55.28,47.45K,0.23%
8/21/2019,55.68,56.05,57.13,55.55,704.04K,-1.17%
8/22/2019,55.35,55.94,56.46,54.85,621.57K,-0.59%
8/23/2019,54.17,55.35,55.60,53.24,807.15K,-2.13%
8/26/2019,53.64,53.25,55.26,52.96,679.02K,-0.98%
8/27/2019,54.93,53.76,55.72,53.69,596.62K,2.40%
8/28/2019,55.78,55.71,56.75,55.34,674.05K,1.55%
8/29/2019,56.71,55.88,56.89,55.43,630.76K,1.67%
8/30/2019,55.10,56.63,56.72,54.55,708.27K,-2.84%
9/1/2019,54.80,55.00,55.00,54.56,-,-0.54%
9/2/2019,54.66,54.81,55.22,54.36,-,-0.26%
9/3/2019,53.94,55.00,55.24,52.84,970.80K,-1.32%
9/4/2019,56.26,53.92,56.58,53.84,682.30K,4.30%
9/5/2019,56.30,55.95,57.76,55.75,712.47K,0.07%
9/6/2019,56.52,56.19,56.95,54.83,714.29K,0.39%
9/9/2019,57.85,56.80,58.16,56.58,646.99K,2.35%
9/10/2019,57.40,58.03,58.76,57.20,755.47K,-0.78%
9/11/2019,55.75,57.89,58.30,55.61,858.77K,-2.87%
9/12/2019,55.09,55.93,56.34,54.00,845.98K,-1.18%
9/13/2019,54.85,55.15,55.68,54.44,599.47K,-0.44%
9/16/2019,62.90,61.48,63.38,58.77,1.40M,14.68%
9/17/2019,59.34,61.96,62.59,58.46,993.24K,-5.66%
9/18/2019,58.11,58.81,59.43,57.67,216.96K,-2.07%
9/19/2019,58.13,58.20,59.54,58.01,112.33K,0.03%
9/20/2019,58.09,58.65,59.10,57.79,37.98K,-0.07%
9/23/2019,58.64,59.25,59.39,57.37,526.79K,0.95%
9/24/2019,57.29,58.44,58.49,56.69,591.53K,-2.30%
9/25/2019,56.49,56.70,57.02,55.55,563.55K,-1.40%
9/26/2019,56.41,56.69,56.84,55.41,599.65K,-0.14%
9/27/2019,55.91,56.51,56.76,54.75,712.97K,-0.89%
9/30/2019,54.07,56.54,56.57,53.98,532.52K,-3.29%
10/1/2019,53.62,54.28,54.84,53.05,589.18K,-0.83%
10/2/2019,52.64,54.00,54.42,52.17,590.31K,-1.83%
10/3/2019,52.45,52.47,52.91,50.99,642.47K,-0.36%
10/4/2019,52.81,52.29,53.35,52.04,541.10K,0.69%
10/7/2019,52.75,52.69,54.06,52.59,549.02K,-0.11%
10/8/2019,52.63,52.81,53.27,51.81,658.32K,-0.23%
10/9/2019,52.59,52.57,53.74,52.31,632.67K,-0.08%
10/10/2019,53.55,52.69,53.97,51.38,613.94K,1.83%
10/11/2019,54.70,53.88,54.93,53.64,741.70K,2.15%
10/14/2019,53.59,54.90,54.90,52.77,467.64K,-2.03%
10/15/2019,52.81,53.51,53.79,52.39,511.25K,-1.46%
10/16/2019,53.36,52.92,53.74,52.51,451.64K,1.04%
10/17/2019,53.93,52.99,54.16,52.62,418.42K,1.07%
10/18/2019,53.78,54.09,54.62,53.35,174.48K,-0.28%
10/21/2019,53.31,53.71,54.03,52.71,95.98K,-0.87%
10/22/2019,54.16,53.39,54.62,53.10,33.92K,1.59%
10/23/2019,55.97,54.30,56.07,53.62,620.20K,3.34%
10/24/2019,56.23,55.90,56.51,55.41,480.76K,0.46%
10/25/2019,56.66,56.07,56.74,55.60,445.02K,0.76%
10/28/2019,55.81,56.65,56.92,55.58,437.02K,-1.50%
10/29/2019,55.54,55.80,55.91,54.61,521.46K,-0.48%
10/30/2019,55.06,55.53,55.73,54.42,659.33K,-0.86%
10/31/2019,54.18,54.90,55.59,53.71,677.42K,-1.60%
11/1/2019,56.20,54.15,56.33,54.07,538.12K,3.73%
11/4/2019,56.54,56.41,57.43,55.83,580.35K,0.60%
11/5/2019,57.23,56.56,57.50,56.30,435.32K,1.22%
11/6/2019,56.35,57.26,57.85,56.11,623.26K,-1.54%
11/7/2019,57.15,56.35,57.88,56.27,678.17K,1.42%
11/8/2019,57.24,57.08,57.48,55.76,636.94K,0.16%
11/11/2019,56.86,57.40,57.40,56.25,498.98K,-0.66%
11/12/2019,56.80,56.89,57.55,56.54,586.57K,-0.11%
11/13/2019,57.12,56.79,57.53,56.20,547.64K,0.56%
11/14/2019,56.77,57.39,57.79,56.63,516.83K,-0.61%
11/15/2019,57.72,56.91,57.97,56.43,375.99K,1.67%
11/18/2019,57.05,57.88,58.09,56.55,159.33K,-1.16%
11/19/2019,55.21,56.90,57.11,55.04,121.21K,-3.23%
11/20/2019,57.11,55.16,57.25,54.76,31.92K,3.44%
11/21/2019,58.58,57.00,58.67,56.60,593.53K,2.57%
11/22/2019,57.77,58.31,58.74,57.50,508.24K,-1.38%
11/25/2019,58.01,57.92,58.15,57.21,420.64K,0.42%
11/26/2019,58.41,57.92,58.56,57.76,443.82K,0.69%
11/27/2019,58.11,58.27,58.68,57.51,454.26K,-0.51%
11/28/2019,58.08,57.97,58.29,57.64,-,-0.05%
11/29/2019,55.17,58.13,58.30,55.02,718.72K,-5.01%
12/2/2019,55.96,55.47,56.67,55.42,616.42K,1.43%
12/3/2019,56.10,55.96,56.80,55.35,560.55K,0.25%
12/4/2019,58.43,56.43,58.66,56.28,760.54K,4.15%
12/5/2019,58.43,58.36,59.12,58.10,649.46K,0.00%
12/6/2019,59.20,58.32,59.85,57.70,679.61K,1.32%
12/9/2019,59.02,59.11,59.25,58.23,511.56K,-0.30%
12/10/2019,59.24,58.92,59.52,58.52,566.82K,0.37%
12/11/2019,58.76,59.06,59.22,58.11,589.65K,-0.81%
12/12/2019,59.18,58.88,59.72,58.75,530.85K,0.71%
12/13/2019,60.07,59.36,60.48,59.27,512.29K,1.50%
12/16/2019,60.21,59.87,60.34,59.71,347.40K,0.23%
12/17/2019,60.94,60.23,61.06,60.03,163.74K,1.21%
12/18/2019,60.93,60.55,61.18,60.32,131.07K,-0.02%
12/19/2019,61.22,60.86,61.47,60.79,35.46K,0.48%
12/20/2019,60.44,61.11,61.20,60.02,552.52K,-1.27%
12/23/2019,60.52,60.41,60.77,60.10,314.71K,0.13%
12/24/2019,61.11,60.63,61.16,60.47,204.54K,0.97%
12/25/2019,61.19,61.45,61.52,61.17,-,0.13%
12/26/2019,61.68,61.20,61.83,61.06,265.09K,0.80%
12/27/2019,61.72,61.73,61.97,61.24,351.90K,0.06%
12/30/2019,61.68,61.71,62.34,61.09,427.15K,-0.06%
12/31/2019,61.06,61.68,61.88,60.63,494.54K,-1.01%
